ID,Name,Name_es,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
1027,Assisted Single Leg Press,,Strength,Thighs,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1028,Assisted Standing Triceps Dip,,Strength,Upper Arms,Leverage machine,Male,Pectoralis Major Sternal Head,"Pectoralis Major Clavicular Head, Serratus Anterior"
1029,Lever Parallel Chest Press,,Strength,Chest,Leverage machine,Male,Gluteus Maximus,Hamstrings
1030,Lever Pec Deck Fly,,Strength,Chest,Leverage machine,Male,Biceps Brachii,"Brachialis, Brachioradialis"
1031,Lever Standing Hip Extension,,Strength,Hips,Leverage machine,Male,Triceps Brachii,
1032,Lever Alternate Biceps Curl,,Strength,Upper Arms,Leverage machine,Male,"Gluteus Medius, Tensor Fasciae Latae",
1033,Lever Triceps Extension,,Strength,Upper Arms,Leverage machine,Male,"Adductor Longus, Adductor Magnus","Adductor Brevis, Gracilis, Pectineous"
1034,Lever Side Hip Abduction,,Strength,Hips,Leverage machine,Male,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Sartorius"
1035,Lever Side Hip Adduction,,Strength,Hips,Leverage machine,Male,Gluteus Maximus,
1036,Lever Standing Leg Raise,,Strength,Hips,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1037,Lever Standing Rear Kick,,Strength,Hips,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1038,Lever Chair Squat,,Strength,Thighs,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1039,Lever Full Squat,,Strength,Thighs,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1040,Lever Pistol Squat,,Strength,Thighs,Leverage machine,Male,Splenius,"Levator Scapulae, Sternocleidomastoid"
1041,Lever Lying Chest Press (plate loaded),,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1042,Weighted Lying Neck Extension,,Strength,Neck,Weighted,Male,Splenius,"Levator Scapulae, Sternocleidomastoid"
1043,Weighted Lying Neck Flexion,,Strength,Neck,Weighted,Male,Sternocleidomastoid,"Levator Scapulae, Splenius"
1044,Plate Pinch,,Strength,Forearms,Weighted,Male,Wrist Extensors,"Adductor Magnus, Gluteus Maximus, Quadriceps, Soleus"
1045,Barbell Seated Military Press (inside squat cage),,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1046,Cable Elevated Row,,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Pectoralis Major Sternal Head, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
1047,Cable Close-Grip Front Lat Pulldown,,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
1048,Dumbbell Lying One Arm Rear Lateral Raise,,Strength,Shoulders,Dumbbell,Male,Deltoid Posterior ,"Deltoid Lateral, Infraspinatus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
1049,One leg kickback (with bench support),,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
1050,Smith Calf Raise (with block),,Strength,Calves,Smith machine,Male,Gastrocnemius,Soleus
1051,Cat Stretch,,Stretching,Back,Body weight,Male,Erector Spinae,
1052,Fixed Bar Back Stretch,,Stretching,Back,Body weight,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers",
1053,Kneeling Hip Flexor Stretch,,Stretching,Hips,Body weight,Male,Gluteus Maximus,
1058,Standing one arm chest stretch,,Stretching,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",
1059,Standing Quadriceps Stretch,,Stretching,Thighs,Body weight,Male,Quadriceps,
1060,Barbell Hip Thrust,,Strength,Hips,Barbell,Male,Gluteus Maximus,"Hamstrings, Quadriceps"
1061,Barbell one leg hip thrust,,Strength,Hips,Barbell,Male,Gluteus Maximus,"Hamstrings, Quadriceps"
1062,Weighted one leg hip thrust,,Strength,Hips,Weighted,Male,Gluteus Maximus,"Hamstrings, Quadriceps"
1063,Barbell sumo squat,,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Soleus"
1064,Sumo Squat,,Strength,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Soleus"
1065,Lying Hip Lift (on stability ball) II,,Strength,Hips,Stability ball,Male,Gluteus Maximus,Hamstrings
1160,Burpee,,Aerobic,Cardio,Body weight,Male,,
1161,Rowing (with rowing machine),,Aerobic,Cardio,Leverage machine,Male,,
1162,Barbell Standing Military Press,,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1163,Lying Leg Raise,,Strength,Waist,Body weight,Male,Rectus Abdominis,"Gluteus Maximus, Iliopsoas, Quadriceps, Sartorius, Tensor Fasciae Latae"
1164,Smith Calf Raise (version 2),,Strength,Calves,Smith machine,Male,Gastrocnemius,Soleus
1165,Barbell Standing Military Press (without rack),,Strength,Shoulders,Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1166,Jump Split (male),,Aerobic,Plyometrics,Body weight,Male,,
1167,Dynamic Chest Stretch (male),,Stretching,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",
1168,Lying (prone) Abdominal Stretch (male),,Stretching,Waist,Body weight,Male,Rectus Abdominis,
1169,Seated Groin Stretch (male),,Stretching,Hips,Body weight,Male,"Adductor Brevis, Adductor Longus, Adductor Magnus, Pectineous",
1172,Assisted Weighted Push-up,,Strength,Chest,Weighted,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1173,Barbell Incline Wide Reverse-grip Bench Press,,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Sternal Head, Serratus Anterior, Triceps Brachii"
1174,Diamond Push-up (on knees),,Strength,Upper Arms,Body weight,Male,Triceps Brachii,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1176,Dumbbell Incline Front Raise,,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
1177,Dumbbell Lying Hammer Press (version 2),,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1178,Dumbbell Standing Single Leg Calf Raise,,Strength,Calves,Dumbbell,Male,Gastrocnemius,Soleus
1179,Flutter Kicks (version 2),,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
1184,Weighted Inverted Row,,Strength,Back,Weighted,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Deltoid Posterior, Triceps Brachii"
1187,Kettlebell Sit-up,,Strength,Waist,Kettlebell,Male,Rectus Abdominis,Obliques
1190,Incline Twisting Sit-up (version 2),,Strength,Waist,Body weight,Male,"Iliopsoas, Obliques","Pectineous, Quadriceps, Rectus Abdominis, Tensor Fasciae Latae"
1191,Triceps Press (Head Below Bench),,Strength,Upper Arms,Body weight,Male,Triceps Brachii,Pectoralis Major Sternal Head
1193,Iron Cross Plank,,Strength,Back,Body weight,Male,"Gluteus Maximus, Latissimus Dorsi, Obliques, Rectus Abdominis, Trapezius Lower Fibers, Trapezius Middle Fibers",
1194,Lever Lying T-bar Row,,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Triceps Brachii"
1195,Lever Incline Hammer Chest Press,,Strength,Chest,Leverage machine,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Pectoralis Major Sternal Head, Triceps Brachii"
1196,Dumbbell Alternate Biceps Curl,,Strength,Upper Arms,Dumbbell,Male,Biceps Brachii,"Brachialis, Brachioradialis"
1197,Squat (male),,Strength,Thighs,Body weight,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1198,Jumping Pull-up,,Aerobic,Back,Body weight,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Gluteus Maximus, Hamstrings, Infraspinatus, Pectoralis Major Sternal Head, Quadriceps, Soleus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
1199,Sumo Deadlift High Pull,,Strength,Shoulders,Barbell,Male,"Deltoid Lateral, Gluteus Maximus, Quadriceps","Adductor Magnus, Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Gastrocnemius, Infraspinatus, Soleus, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
1200,Push Press,,Strength,Shoulders,Barbell,Male,"Deltoid Anterior, Deltoid Lateral, Gastrocnemius, Gluteus Maximus, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus, Triceps Brachii",
1201,Dumbbell burpee,,Aerobic,Cardio,Dumbbell,Male,,
1202,Cable horizontal Pallof Press,,Strength,Waist,Cable,Male,Obliques,
1203,Cable one arm inner biceps curl,,Strength,Upper Arms,Cable,Male,Brachialis,"Biceps Brachii, Brachioradialis"
1204,Cable one arm lat pulldown,,Strength,Back,Cable,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
1205,Cable one arm twisting seated row,,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head, Triceps Brachii"
1206,Cable pull through,,Strength,Hips,Cable,Male,Gluteus Maximus,"Erector Spinae, Hamstrings"
1209,Cable twisting overhead press,,Strength,Shoulders,Cable,Male,Deltoid Anterior,"Adductor Magnus, Deltoid Lateral, Gastrocnemius, Gluteus Maximus, Obliques, Pectoralis Major Clavicular Head, Quadriceps, Serratus Anterior, Soleus, Trapezius Lower Fibers, Trapezius Middle Fibers"
1210,Cable Twisting Standing high Row,,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Obliques, Pectoralis Major Sternal Head"
1211,Cable twisting standing one arm chest press,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Obliques, Pectoralis Major Clavicular Head, Tensor Fasciae Latae"
1212,Cable Twisting Standing Row,,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Deltoid Posterior, Pectoralis Major Sternal Head, Tensor Fasciae Latae, Triceps Brachii"
1213,Cable vertical Pallof Press,,Strength,Waist,Cable,Male,Obliques,
1214,Dumbbell Incline reverse-grip 30 degrees bench press,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Sternal Head, Triceps Brachii"
1216,Lever seated one leg calf raise,,Strength,Calves,Leverage machine,Male,Soleus,Gastrocnemius
1217,Body muscle. Side front view (male),,,Full body,Body weight,Male,,
1218,Body muscle. Side back view (male),,,Full body,Body weight,Male,,
1219,Body muscles (male) - with description,,,Full body,Body weight,Male,,
1220,Lever Calf Raise (bench press machine),,Strength,Calves,Leverage machine,Male,Gastrocnemius,Soleus
1221,Lever Shrug (bench press machine),,Strength,Back,Leverage machine,Male,Trapezius Upper Fibers ,"Levator Scapulae, Trapezius Middle Fibers"
1222,Assisted Close-grip Underhand Chin-up,,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers, Triceps Brachii"
1223,Underhand-Grip Inverted Back Row,,Strength,Back,Body weight,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Triceps Brachii"
1224,Smith Standing Shoulder Press,,Strength,Shoulders,Smith machine,Male,Deltoid Anterior,"Deltoid Lateral, Serratus Anterior, Triceps Brachii"
1225,Standing Plate Presses,,Strength,Shoulders,Weighted,Male,Deltoid Anterior,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii"
1226,EZ-Bar Standing Overhead Press,,Strength,Shoulders,EZ Barbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1227,Cable Standing One Arm Tricep Pushdown (Overhand Grip),,Strength,Upper Arms,Cable,Male,Triceps Brachii,
1228,Dumbbell Standing Inner Biceps Curl,,Strength,Upper Arms,Dumbbell,Male,Biceps Brachii,Brachialis
1229,Cable Standing Lat Pushdown (rope equipment),,Strength,Back,Cable,Male,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
1230,Dumbbell Standing Alternate Vertical Front Raises,,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
1231,Dumbbell Seated One Arm Shoulder Press,,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Biceps Brachii, Brachialis, Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior, Triceps Brachii"
1232,Lever Seated Squat,,Strength,Thighs,Leverage machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1233,Dumbbell Incline Alternate Hammer Curl,,Strength,Upper Arms,Dumbbell,Male,Brachioradialis,"Biceps Brachii, Brachialis"
1234,Plate Hyperextension,,Strength,Hips,Weighted,Male,Erector Spinae,"Gluteus Maximus, Hamstrings"
1235,Lever One Arm Seated Row (Seated row machine),,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
1236,Dumbbell One Arm Row (rack support),,Strength,Back,Dumbbell,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
1237,Lever Row (plate loaded),,Strength,Back,Leverage machine,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
1238,Cable Seated Row (Bent bar),,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
1239,By BODY PARTS Muscle body male (slightly rotate),,,Full body,Body weight,Male,,
1241,Bird Dog (male),,Strength,Back,Body weight,Male,"Erector Spinae, Gluteus Maximus","Deltoid Anterior, Hamstrings"
1242,Crunch (on bosu ball),,Strength,Waist,Bosu ball,Male,Rectus Abdominis,Obliques
1243,Dead Bug (version 2),,Strength,Waist,Body weight,Male,"Iliopsoas, Rectus Abdominis","Gluteus Maximus, Quadriceps"
1244,Flutter Kicks (version 3),,Strength,Hips,Body weight,Male,Iliopsoas,"Adductor Brevis, Adductor Longus, Pectineous, Quadriceps, Sartorius, Tensor Fasciae Latae"
1245,Lying Leg Raise and Hold,,Strength,Hips,Body weight,Male,Iliopsoas,"Quadriceps, Rectus Abdominis"
1246,Hollow Hold,,Strength,Waist,Body weight,Male,"Iliopsoas, Rectus Abdominis","Obliques, Quadriceps, Sartorius"
1247,Russian Twist (with medicine ball),,Strength,Waist,Medicine Ball,Male,Obliques,Rectus Abdominis
1248,Half Wipers (bent leg),,Strength,Waist,Body weight,Male,Obliques,
1249,Wipers (straight leg),,Strength,Waist,Body weight,Male,Obliques,
1251,By MAJOR MUSCLE GROUPS Muscle body male (slightly rotate),,,Full body,Body weight,Male,,
1253,Lever Donkey Calf Raise,,Strength,Calves,Leverage machine,Male,Gastrocnemius,Soleus
1254,Band Bench Press,,Strength,Chest,Band,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii"
1255,Barbell Decline Pullover,,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Teres Major"
1256,Barbell Reverse Grip Decline Bench Press,,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1257,Barbell Reverse Grip Incline Bench Press,,Strength,Chest,Barbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1258,Barbell Wide Reverse Grip Bench Press,,Strength,Chest,Barbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1259,Behind Head Chest Stretch,,Stretching,Chest,Assisted,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",
1260,Cable Decline One Arm Press,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1261,Cable Decline Press,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1262,Cable One Arm Decline Chest Fly,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1263,Cable One Arm Fly on Exercise Ball,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1264,Cable One Arm Incline Fly on Exercise Ball,,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
1265,Cable One Arm Incline Press,,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1266,Cable One Arm Incline Press on Exercise Ball,,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1267,Cable One Arm Press on Exercise Ball,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1268,Cable Press on Exercise Ball,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1269,Cable Standing Up Straight Crossovers,,Strength,Chest,Cable,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1270,Cable Upper Chest Crossovers,,Strength,Chest,Cable,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
1271,Chest and Front of Shoulder Stretch,,Stretching,Chest,Body weight,Male,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",
1272,Chest Stretch with Exercise Ball,,Stretching,Chest,Stability ball,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1273,Clap Push Up,,Aerobic,Plyometrics,Body weight,Male,,
1274,Deep Push Up,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1275,Drop Push Up,,Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Brachialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1276,Dumbbell Decline One Arm Fly,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1277,Dumbbell Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1278,Dumbbell Incline Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
1279,Dumbbell Incline One Arm Fly,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
1280,Dumbbell Incline One Arm Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
1281,Dumbbell Incline One Arm Press,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1282,Dumbbell Incline One Arm Press on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1283,Dumbbell Incline Press on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1284,Dumbbell Lying Pullover on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Levator Scapulae, Teres Major, Triceps Brachii"
1285,Dumbbell One Arm Bench Fly,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1286,Dumbbell One Arm Chest Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1287,Dumbbell One Arm Decline Chest Press,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1288,Dumbbell One Arm Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1289,Dumbbell One Arm Incline Chest Press,,Strength,Chest,Dumbbell,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1290,Dumbbell One Arm Press on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1291,Dumbbell One Arm Pullover on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Levator Scapulae, Teres Major, Triceps Brachii"
1292,Dumbbell One Leg Fly on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
1293,Dumbbell Press on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1294,Dumbbell Pullover Hip Extension on Exercise Ball,,Strength,Chest,Dumbbell,Male,"Gluteus Maximus, Pectoralis Major Sternal Head","Deltoid Posterior, Hamstrings, Latissimus Dorsi, Levator Scapulae, Teres Major, Triceps Brachii"
1295,Dumbbell Pullover on Exercise Ball,,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Posterior, Latissimus Dorsi, Levator Scapulae, Teres Major, Triceps Brachii"
1296,Exercise Ball Pike Push up,,Strength,Chest,Stability ball,Male,"Iliopsoas, Pectoralis Major Sternal Head, Rectus Abdominis","Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1297,Isometric Chest Squeeze,,Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1298,Kettlebell One Arm Floor Press,,Strength,Chest,Kettlebell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1299,Lever Incline Chest Press,,Strength,Chest,Leverage machine,Male,Pectoralis Major Clavicular Head,"Deltoid Anterior, Triceps Brachii"
1300,Lever Decline Chest Press,,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1301,Machine Inner Chest Press,,Strength,Chest,Leverage machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1302,Medicine Ball Chest Pass,,Strength,Chest,Medicine Ball,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1303,Medicine Ball Chest Push from 3 Point Stance,,Strength,Chest,Medicine Ball,Male,Pectoralis Major Sternal Head,"Adductor Magnus, Deltoid Anterior, Gluteus Maximus, Pectoralis Major Clavicular Head, Quadriceps, Rectus Abdominis, Triceps Brachii"
1304,Medicine Ball Chest Push Multiple Response,,Strength,Chest,Medicine Ball,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Iliopsoas, Pectoralis Major Clavicular Head, Sartorius, Triceps Brachii"
1305,Medicine Ball Chest Push Single Response,,Strength,Chest,Medicine Ball,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Brachialis, Deltoid Anterior, Hamstrings, Iliopsoas, Pectoralis Major Clavicular Head, Sartorius, Triceps Brachii"
1306,Plyo Push Up,,Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Brachialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii, Wrist Flexors"
1307,Push Up on Bosu Ball,,Strength,Chest,Bosu ball,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1308,Smith Wide Grip Bench Press,,Strength,Chest,Smith machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1309,Smith Wide Grip Decline Bench Press,,Strength,Chest,Smith machine,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1310,Weighted Drop Push Up,,Strength,Chest,Weighted,Male,Pectoralis Major Sternal Head,"Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1311,Wide Hand Push up,,Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
1312,Medicine Ball Chest Push with Run Release,,Strength,Chest,Medicine Ball,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Rectus Abdominis, Triceps Brachii"
